Processing activity,Purpose,Categories of data subjects,Categories of personal data,Recipients / processors,Embedded / external APIs (client vs server),Third-country transfer (outside EU/EEA),Transfer safeguards (confirm with counsel),Retention (confirm operationally),Security measures (technical summary),Codebase evidence / notes
User registration & login,Provide business and staff accounts,"Managers, employees, platform admins","Email, name, password hash, role, locale, emailVerified",CareTip API (processor/controller per deployment); Google OAuth if used,"Client: @react-oauth/google (GSI). Server: google-auth-library verifyIdToken → oauth2.googleapis.com",Likely yes when Google OAuth is used (Google global infrastructure),"Confirm Google DPA + SCCs; document in privacy policy",Not defined in code — set policy,"bcrypt (10 rounds); JWT access; HttpOnly refresh cookie (SHA-256 at rest, rotation); login rate limits",auth.service.ts; oauthAuth.service.ts; refreshToken.service.ts
Email verification,Account integrity and fraud reduction,Registered users,"Email; hashed verification token in DB; raw token in email link only",Resend; CareTip DB,Server: api.resend.com,Likely yes (Resend US-based — confirm processing location),Confirm Resend DPA + SCCs,Token table — retention not in code,SHA-256 hashed tokens; HTTPS links,emailVerification.service.ts
Password reset,Secure credential recovery,Users,"Email; hashed reset token",Resend; CareTip DB,Server: api.resend.com,Likely yes,Confirm Resend DPA + SCCs,Not in code,Hashed tokens; rate-limited forgot/reset routes,passwordReset.service.ts
Employee invitation & activation,Onboard venue staff,Employees; managers (inviter context),"Email, name, activation tokens",Resend; CareTip DB,Server: api.resend.com,Likely yes,Confirm Resend DPA + SCCs,Not in code,Time-limited activation tokens,employeeActivationEmail.service.ts
Google Sign-In (optional),Social login alternative to password,Users choosing Google,"Email, Google sub, display name; stored oauthProvider/oauthSubject",Google; CareTip API,"Client: Google Identity Services script. Server: ID token verification",Likely yes,Google SCCs / OAuth terms,Account lifetime,Same as login; verified email required,oauthAuth.service.ts; App.tsx GoogleOAuthProvider
Guest card tipping (QR flow),Collect tips from guests without accounts,"Guests (non-registered); employees as beneficiaries","Amount, currency, business/employee/location/table IDs; optional customerName and feedback; card data at Stripe only",Stripe Checkout; CareTip API → PostgreSQL,"Client: redirect to Stripe-hosted Checkout (no Stripe.js embed in repo). Server: stripe SDK + webhooks → api.stripe.com",Likely yes (Stripe global processing),Stripe DPA; PCI delegated to Stripe Checkout,Transaction/tip records — no global retention policy in code,Webhook signature verification; metadata not full PAN,stripe.service.ts; payment.controller.ts; PaymentPage.tsx
Tip & transaction storage,Reporting dashboards and payout preparation,"Employees, businesses, managers","Financial amounts, status, Stripe payment/session IDs, timestamps, FKs",Supabase PostgreSQL (if used) or other Postgres host,CareTip API → DATABASE_URL (Supabase pooler pattern in .env.example),Depends on Supabase/host region selected in dashboard — not fixed in code,Supabase DPA; choose EU region if EEA-only required,Not in code,RBAC via JWT roles; Prisma access,schema.prisma; tips/transactions controllers
Tip feedback (optional),Guest satisfaction capture,Guests; linked to tip,"Rating, comment, tags, optional customerName, Stripe session id",CareTip DB,First-party API only,Same as database region,—,Not in code,Authenticated/post-payment flows per controller,feedback.controller.ts; TipFeedback model
Business verification,Trust and compliance onboarding,Managers,"Legal/contact business data, tax identifiers, verification documents",Supabase Storage (if configured) or local ./uploads,Server: *.supabase.co storage API when enabled,Depends on Supabase project region + bucket,Supabase Storage DPA; public bucket URLs per .env.example,Not in code,"5 MB cap; MIME allowlist; magic-byte sniffing",upload.service.ts; supabaseStorageClient.ts
Profile images (avatars & logos),Identity in app UI,"Employees, businesses",Image files (photos),Supabase Storage or API disk,Server upload; public URLs when Supabase public bucket,Depends on storage region,Same as Supabase,Not in code,imageUploadValidation.ts
